word=the,f=222,flags=,originalFreq=222
word=to,f=215,flags=,originalFreq=215
word=of,f=214,flags=,originalFreq=214
word=and,f=212,flags=,originalFreq=212
word=in,f=210,flags=,originalFreq=210
word=a,f=208,flags=,originalFreq=208
word=was,f=201,flags=,originalFreq=201
word=is,f=200,flags=,originalFreq=200
word=this,f=200,flags=,originalFreq=200
word=I,f=196,flags=,originalFreq=196
word=as,f=196,flags=,originalFreq=196
word=for,f=196,flags=,originalFreq=196
word=on,f=195,flags=,originalFreq=195
word=with,f=195,flags=,originalFreq=195
word=by,f=194,flags=,originalFreq=194
word=that,f=192,flags=,originalFreq=192
word=from,f=191,flags=,originalFreq=191
word=at,f=190,flags=,originalFreq=190
word=his,f=190,flags=,originalFreq=190
word=an,f=187,flags=,originalFreq=187
word=he,f=187,flags=,originalFreq=187
word=are,f=186,flags=,originalFreq=186
word=were,f=186,flags=,originalFreq=186
word=don't,f=185,flags=,originalFreq=185
word=which,f=185,flags=,originalFreq=185
word=it,f=184,flags=,originalFreq=184
word=or,f=184,flags=,originalFreq=184
word=had,f=182,flags=,originalFreq=182
word=has,f=182,flags=,originalFreq=182
word=one,f=182,flags=,originalFreq=182
word=but,f=181,flags=,originalFreq=181
word=first,f=180,flags=,originalFreq=180
word=very,f=180,flags=,originalFreq=180
word=we,f=180,flags=,originalFreq=180
word=not,f=179,flags=,originalFreq=179
word=their,f=179,flags=,originalFreq=179
word=any,f=178,flags=,originalFreq=178
word=have,f=178,flags=,originalFreq=178
word=who,f=178,flags=,originalFreq=178
word=been,f=176,flags=,originalFreq=176
word=her,f=176,flags=,originalFreq=176
word=two,f=176,flags=,originalFreq=176
word=get,f=175,flags=,originalFreq=175
word=other,f=175,flags=,originalFreq=175
word=after,f=174,flags=,originalFreq=174
word=into,f=174,flags=,originalFreq=174
word=they,f=174,flags=,originalFreq=174
word=time,f=174,flags=,originalFreq=174
word=all,f=173,flags=,originalFreq=173
word=be,f=173,flags=,originalFreq=173
word=me,f=173,flags=,originalFreq=173
word=more,f=173,flags=,originalFreq=173
word=must,f=173,flags=,originalFreq=173
word=only,f=172,flags=,originalFreq=172
word=when,f=172,flags=,originalFreq=172
word=years,f=172,flags=,originalFreq=172
word=most,f=171,flags=,originalFreq=171
word=over,f=171,flags=,originalFreq=171
word=used,f=171,flags=,originalFreq=171
word=would,f=171,flags=,originalFreq=171
word=you,f=171,flags=,originalFreq=171
word=can,f=170,flags=,originalFreq=170
word=during,f=170,flags=,originalFreq=170
word=going,f=170,flags=,originalFreq=170
word=good,f=170,flags=,originalFreq=170
word=him,f=170,flags=,originalFreq=170
word=new,f=170,flags=,originalFreq=170
word=out,f=170,flags=,originalFreq=170
word=she,f=170,flags=,originalFreq=170
word=such,f=170,flags=,originalFreq=170
word=where,f=170,flags=,originalFreq=170
word=between,f=169,flags=,originalFreq=169
word=made,f=169,flags=,originalFreq=169
word=many,f=169,flags=,originalFreq=169
word=some,f=169,flags=,originalFreq=169
word=then,f=169,flags=,originalFreq=169
word=there,f=169,flags=,originalFreq=169
word=year,f=169,flags=,originalFreq=169
word=about,f=168,flags=,originalFreq=168
word=back,f=168,flags=,originalFreq=168
word=became,f=168,flags=,originalFreq=168
word=later,f=168,flags=,originalFreq=168
word=part,f=168,flags=,originalFreq=168
word=under,f=168,flags=,originalFreq=168
word=well,f=168,flags=,originalFreq=168
word=being,f=167,flags=,originalFreq=167
word=including,f=167,flags=,originalFreq=167
word=them,f=167,flags=,originalFreq=167
word=through,f=167,flags=,originalFreq=167
word=area,f=166,flags=,originalFreq=166
word=both,f=166,flags=,originalFreq=166
word=make,f=166,flags=,originalFreq=166
word=name,f=166,flags=,originalFreq=166
word=before,f=165,flags=,originalFreq=165
word=called,f=165,flags=,originalFreq=165
word=could,f=165,flags=,originalFreq=165
word=fine,f=165,flags=,originalFreq=165
word=people,f=165,flags=,originalFreq=165
word=second,f=165,flags=,originalFreq=165
